trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2868,False,"{'a': 0.003209167698262857, 'e': 0.003209167698262857}",20,0,31.098414203415892,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2869,False,"{'a': 0.003202749362866331, 'e': 0.003202749362866331}",20,0,32.33290663083109,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2870,False,"{'a': 0.0031963438641405984, 'e': 0.0031963438641405984}",25,11,25.820081848252855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2871,False,"{'a': 0.0031899511764123174, 'e': 0.0031899511764123174}",25,16,17.648501646271388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2872,False,"{'a': 0.0031835712740594926, 'e': 0.0031835712740594926}",30,18,20.332416344941162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2873,False,"{'a': 0.0031772041315113737, 'e': 0.0031772041315113737}",35,20,27.95339561626634,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2874,False,"{'a': 0.003170849723248351, 'e': 0.003170849723248351}",20,10,18.20021074816477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2875,False,"{'a': 0.003164508023801854, 'e': 0.003164508023801854}",20,15,11.076230323870217,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2876,False,"{'a': 0.0031581790077542505, 'e': 0.0031581790077542505}",20,14,12.664858995945666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2877,False,"{'a': 0.003151862649738742, 'e': 0.003151862649738742}",25,8,30.270645711330797,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2878,False,"{'a': 0.0031455589244392644, 'e': 0.0031455589244392644}",30,18,21.821443294266086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2879,False,"{'a': 0.003139267806590386, 'e': 0.003139267806590386}",25,14,22.47702835155987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2880,False,"{'a': 0.003132989270977205, 'e': 0.003132989270977205}",30,18,20.524414360621353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2881,False,"{'a': 0.0031267232924352506, 'e': 0.0031267232924352506}",20,9,21.584423371048523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2882,False,"{'a': 0.00312046984585038, 'e': 0.00312046984585038}",25,8,29.157284543711533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2883,False,"{'a': 0.0031142289061586795, 'e': 0.0031142289061586795}",25,11,24.454064636282222,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2884,False,"{'a': 0.003108000448346362, 'e': 0.003108000448346362}",30,16,25.111193285539926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2885,False,"{'a': 0.003101784447449669, 'e': 0.003101784447449669}",20,15,11.919368878861087,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2886,False,"{'a': 0.00309558087855477, 'e': 0.00309558087855477}",25,8,30.95651021143332,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2887,False,"{'a': 0.0030893897167976604, 'e': 0.0030893897167976604}",25,14,23.106018869609123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2888,False,"{'a': 0.003083210937364065, 'e': 0.003083210937364065}",25,19,12.56449676369584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2889,False,"{'a': 0.0030770445154893367, 'e': 0.0030770445154893367}",35,21,30.191971084290227,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2890,False,"{'a': 0.0030708904264583584, 'e': 0.0030708904264583584}",25,16,18.640550261194285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2891,False,"{'a': 0.0030647486456054415, 'e': 0.0030647486456054415}",20,0,32.783853071968416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2892,False,"{'a': 0.0030586191483142305, 'e': 0.0030586191483142305}",25,9,28.133875901781224,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2893,False,"{'a': 0.003052501910017602, 'e': 0.003052501910017602}",25,11,25.11293854258992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2894,False,"{'a': 0.003046396906197567, 'e': 0.003046396906197567}",30,14,32.722532032168075,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2895,False,"{'a': 0.0030403041123851717, 'e': 0.0030403041123851717}",25,10,27.60590635930246,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2896,False,"{'a': 0.0030342235041604013, 'e': 0.0030342235041604013}",20,4,24.186176503960308,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2897,False,"{'a': 0.0030281550571520806, 'e': 0.0030281550571520806}",20,6,27.039997808861006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2898,False,"{'a': 0.0030220987470377767, 'e': 0.0030220987470377767}",25,0,34.930465680347666,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
